"Sent Index","Mention Index/Total","Sentence","Mention","Mention Head","Label->Gov"
"1","0/1","Bates continued to be too emotionally unstable to work and in 1957 , <a>XXXX</a> was canceled .","her contract with the Rank Organisation","contract","nsubjpass -> canceled"
"2","0/1","After she graduated in 1986 , she considered attending <a>XXXX</a> and perhaps working in languages for the U. S. State Department .","","","dobj -> attending"
"3","0/1","In 2008 , <a>XXXX</a> advanced to the national championship game , their first under his leadership .","Calipari 's Tigers","Tigers","nsubj -> advanced"
"4","0/1","<a>XXXX</a> is an Italian politician and statesman .","","","nsubj -> politician"
"5","0/1","On 13 February 2008 it was announced that <a>XXXX</a> would go on loan to Swiss side FC Sion until 31 December 2008 .","he","he","nsubj -> go"
"6","0/1","During his business trips to New York to finance <a>XXXX</a> , Mason became acquainted with Julia Phelps and the two married on November 1 , 1838 .","","","dobj -> finance"
"7","0/1","Most had <a>XXXX</a> ; Michael died in 2000 .","two sons , Michael and Steven","sons","dobj -> had"
"8","0/1","In the fall of 2001 Maureen was the newest addition to the Cassie Johnson Rink where she played <a>XXXX</a> .","","","dobj -> played"
"9","0/1","In 1919 , <a>XXXX</a> was part of the Japanese diplomatic delegation to the Paris Peace Conference , where this knowledge proved to be useful .","he","he","nsubj -> part"
"11","0/1","In October 2005 , <a>XXXX</a> answered 15 questions submitted by readers .","","","nsubj -> answered"
"12","0/1","In accordance with the divorce agreement , <a>XXXX</a> continued to live in close proximity to Simenon and their son Marc , an arrangement that continued until they all returned to Europe in 1955 .","Tigy","Tigy","nsubj -> continued"
"13","0/1","<a>XXXX</a> was reelected again in 1997 with 66 % of the vote .","","","nsubjpass -> reelected"
"14","0/1","On April 2 , 2008 , <a>XXXX</a> was elected to the Canadian Football Hall of Fame in his first year of eligibility .","Flutie","Flutie","nsubjpass -> elected"
"15","0/1","At the age of 16 , Garrel wrote and directed <a>XXXX</a> in 1964 .","","","dobj -> directed"
"16","0/1","In 1949 McConachie obtained landing rights at the Tokyo and Hong Kong airports that opened <a>XXXX</a> to CPA 's highly successful transpacific service to Australia , Asia and the South Pacific .","the door","door","dobj -> opened"
"17","0/1","In 1982 <a>XXXX</a> published a memoir Inside the Treasury -LRB- Andre Deutsch -RRB- .","","","nsubj -> published"
"18","0/1","In 2008 , Mayall was awarded <a>XXXX</a> from the University of Exeter .","an honorary Doctor of Letters -LRB- DLitt -RRB-","Doctor","dobj -> awarded"
"19","0/1","One of Tell 's many performances was <a>XXXX</a> Left festival in Pomona , California on October 14 , 2006 .","","","nsubj -> Left"
"20","0/1","He was appointed <a>XXXX</a> in 1947 , Territorial Army .","a Lieutenant-Colonel of the King 's Regiment","Lieutenant-Colonel","dobj -> appointed"
"23","0/1","When <a>XXXX</a> opened here in February 1736 , it was ahead of the Colonial curve : `` the first purpose-built theater building in America , '' according to publicity materials of the Spoleto Festival USA -LRB- though some scholars see the history differently -RRB- .","","","nsubj -> opened"
"24","0/1","The failure of investors to treat the euro area as a unified market could set <a>XXXX</a> , according to the chief of UniCredit , the giant European cross-border lender .","a dangerous precedent for the bloc 's future","precedent","dobj -> set"
"25","0/1","A day after a court convicted <a>XXXX</a> in the 2008 Mumbai terrorist attack of waging war against India and other crimes , the prosecution on Tuesday demanded that he be executed .","","","dobj -> convicted"
"26","0/1","In some parts of the country , the sight of oil drifting toward the Louisiana coast , oozing into the fragile marshlands and bringing <a>XXXX</a> to a halt , has prompted calls to stop offshore drilling indefinitely , if not altogether .","large parts of the state 's economy","parts","dobj -> bringing"
"27","0/1","Iraq 's election commission announced Friday that <a>XXXX</a> had completed a partial recount of ballots from the country 's election two months ago and found no widespread fraud or irregularities .","","","nsubj -> found"
"28","0/1","In Europe , <a>XXXX</a> are generally giddy to see the euro fall and exports rise .","businesses","businesses","nsubj -> giddy"
