"Doc/Sentence Index","Mention Index/Total","Sentence","Mention","Head","Labels","Turk General Labels","Turk Fine Labels","Predcitions"
"0","6/10","The Fifth Third River Bank Run is an annual race hosted by the U.S. city of Grand Rapids , <a>XXXX</a> , in the month of May .","Michigan","","[]","['location:2']","NULL_FINE","['location:2']"
"131","1/7","The Curtiss P-36 Hawk had a 900 & nbsp ; <a>XXXX</a> -LRB- 670 & nbsp ; kW -RRB- radial engine but was soon redesigned as the P-40 Warhawk with a 1100 & nbsp ; hp -LRB- 820 & nbsp ; kW -RRB- in-line engine .","hp","","[]","NULL_GEN","NULL_FINE","[]"
"3","2/10","An early routing of <a>XXXX</a> was part of U.S. Route 66 , today a part of the Arroyo Seco Parkway .","Figueroa Street near downtown Los Angeles","","[]","['object:4']","[['road', 2]]","['object:4']"
"9","0/6","Until <a>XXXX</a> , figurative art was characterized by attempts to reconcile these opposing principles .","the time of the Impressionists","","[]","NULL_GEN","[['year', 4]]","[]"
"0","1/5","This image has been uploaded to illustrate <a>XXXX</a> on 727 Naval Air Squadron , the Royal Navy Naval Air Squadron to which it belongs .","the article","","[]","['object:3']","NULL_FINE","['object:3']"
"1","9/10","Record cover to illustrate the article about album Parallel Lines , the Blondie discography , and the relevant period in the history of <a>XXXX</a> .","Blondie","","[]","NULL_GEN","NULL_FINE","[]"
"0","2/5","How Brompton Road tube station may have looked on <a>XXXX</a> if it was still open to passengers .","the London Underground Map","","[]","['event:2']","NULL_FINE","['event:2']"
"0","0/3","<a>XXXX</a> for Dannii Minogue 's digital album Club Disco -LRB- 2007 -RRB- .","The cover artwork","","[]","NULL_GEN","NULL_FINE","[]"
"5","0/9","<a>XXXX</a> is important because it is The Police 's version of Every Breath You Take , the most famous version .","This audio sample","","[]","NULL_GEN","[['song', 2]]","[]"
"0","4/6","Cover of Flotsam and Jetsam 's <a>XXXX</a> -LRB- album -RRB- , copyright 1992 MCA Records .","Cuatro","","[]","['object:2']","NULL_FINE","['object:2']"
"0","0/9","<a>XXXX</a> , a Tabulate coral , on display at the State Museum of Pennsylvania , from the Keyser Formation , Bloomsburg , Pennsylvania","Halysites","","[]","['object:3']","NULL_FINE","['object:3']"
"0","12/14","Hudson 's Bay point blankets on display at the Tamastslikt Cultural Institute on the Umatilla Indian Reservation near Pendleton , <a>XXXX</a> taken Oct .","Oregon -LRB-","","[]","NULL_GEN","[['picture', 2]]","[]"
"0","2/6","An immature Bald Eagle photographed while thermalling with <a>XXXX</a> over the Bald Eagle Valley of Pennsylvania USA during the 2006 fall migration .","a glider","","[]","['object:3']","NULL_FINE","['object:3']"
"1","0/7","From 1998 to 2001 , <a>XXXX</a> Over Virginia , Inc. flew this balloon over the United States and Canada for the Commonwealth of Virginia .","Balloons","","[]","['object:3']","[['balloon', 4]]","['object:3']"
"0","3/6","September 2016 lunar eclipse chart of <a>XXXX</a> path through the earth 's shadow .","moon 's","","[]","['object:2']","[['moon', 2]]","['object:2']"
"1","2/6","The image adds significantly to the Philippine Sports Commission article because <a>XXXX</a> is used to identify the subject of the article .","it","","[]","['object:2']","NULL_FINE","['object:2']"
"1","8/9","Named by United Kingdom Antarctic Place-Names Committee -LRB- UK-APC -RRB- after John Filer , British Antarctic Survey -LRB- BAS -RRB- biologist who fell to his death from <a>XXXX</a> here in 1961 .","the cliffs","","[]","['place:3']","[['mountain', 3]]","['place:3']"
"0","3/7","Parish Church of St Peter and <a>XXXX</a> , Shepton Mallet , Somerset , UK .","St Paul","","[]","['location:2']","[['church', 2]]","['location:2']"
