"Doc/Sen Id","Mention Id","Sentence","Mention","Head","AFET Labels","Turk-General","Turk-Fine","Predict"
"wex/20110513/46/82/409:1",0,"It lies on the left bank of the river Savinja , opposite <a>XXXX</a> .","Rimske Toplice","Toplice","['/location/city', '/location']","['location']","['city', 'region']","['toplice']"
"wex/20110513/46/82/639:22",3,"Michael hands the stress reader to <a>XXXX</a> and is horrified when the same result occurs .","Oscar -LRB- Oscar Nunez -RRB-","Oscar","[]","['person']","['doctor', 'scientist']","['oscar']"
"wex/20110513/46/82/711:14",1,"The Astley area passed to the Leigh borough constiuency and Clifton to <a>XXXX</a> .","the Farnworth county constituency","constituency","[]","['location', 'place']","['county']","['constituency']"
"wex/20110513/46/83/173:2",0,"<a>XXXX</a> was the long awaited match between Frank Shamrock , returning to the sport after a 3-year absence , and Cesar Gracie .","The main event","event","[]","['event']","['match', 'sport']","['event']"
"wex/20110513/46/83/195:65",2,"<a>XXXX</a> has not happened in a regulation game in the major leagues , but has occurred three times in the minor leagues , most recently by Garrett Bauer of the Rockford RiverHawks against the Windy City Thunderbolts on July 1 2008 .","A fifth strikeout","strikeout","[]","['event']","['milestone']","['strikeout']"
"wex/20110513/46/83/242:8",0,"From that time , it became <a>XXXX</a> , and even served as the leitmotif and rally song for the school teams until Sons of Westwood and later Mighty Bruins became school songs .","one of the primary school songs","one","[]","['object']","['song']","['one']"
"wex/20110513/46/83/289:6",0,"<a>XXXX</a> gave way to country music in the 1930s and bluegrass music in the 1940s .","East of the Mississippi , the genre","East","[]","['person']","['musician']","['east']"
"wex/20110513/46/83/365:0",0,"<a>XXXX</a> is a term coined by American composer-theorist Henry Cowell -LRB- 1897-1965 -RRB- to collectively describe those pianistic extended techniques in which sound is produced by direct manipulation of the strings , instead of or in addition to striking the piano 's keys .","String piano","piano","[]","['concept']","['technique']","['piano']"
"wex/20110513/46/83/712:0",0,"<a>XXXX</a> is a species of bird in the Troglodytidae family .","The Stripe-throated Wren -LRB- Cantorchilus leucopogon -RRB-","Wren","[]","['animal']","['troglodyte', 'bird']","['wren']"
"wex/20110513/46/83/728:12",2,"In addition to Brown and Koherr , episodes of the series were directed by <a>XXXX</a> .","Alan Cohn and Bobcat Goldthwait -LRB- the latter previously worked with Brown in Medusa : Dare to Be Truthful and Shakes the Clown -RRB-","Cohn","[]","['person']","['producer', 'director']","['cohn']"
"wex/20110513/46/84/38:3",2,"Centered on Silesia in Poland , eastern Germany and the northern Czech Republic , it overlaps with <a>XXXX</a> .","the Lengyel horizon to the south , and the Rossen culture to the west","horizon","[]","['location', 'place']","['state', 'country']","['horizon']"
"wex/20110513/46/84/202:4",2,"<a>XXXX</a> left office as the only senator to reach the age of 100 while still in office and as the oldest-serving and longest-serving senator in U.S. history -LRB- although he was later surpassed in the latter by Robert Byrd -RRB- .","He","He","[]","['person']","['senator', 'politician']","['he']"
